account,slot,name,filter,error,odds_band,plbf,bets,sys_key,fingerprint
noggin,1,2024 7YOs BASE 2024,"TEST PASSED LEGALLY1 AND number_of_runners  BETWEEN 8 and 30 AND horse_age = 7 AND seasonalruns = 0 AND catwins NOT BETWEEN 8 and 9 AND lastrun  BETWEEN 21 and 5000 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND horsecountry  IN ( 1,2,3,5 ) AND classmove  IN ( -2,-1,0,1,2 ) AND distancemove  IN ( -1540,-1430,-1320,-1210,-1100,-990,-880,-770,-660,-550,-440,-330,-220,-110,0 ) AND d2jockeys_claim  IN ( 0,3,5 ) AND careerruns>0 AND country_id=1 AND r2country_id=1 AND dateyears >=2003",,none,23.98,213.0,noggin:1,"(frozenset({'number_of_runners BETWEEN 8 and 30', 'horsecountry IN (1,2,3,5)', 'TEST PASSED LEGALLY1', 'catwins NOT BETWEEN 8 and 9', 'd2jockeys_claim IN (0,3,5)', 'nh_flat_aw_id IN (2)', 'classmove IN (-2,-1,0,1,2)', 'distancemove IN (-1540,-1430,-1320,-1210,-1100,-990,-880,-770,-660,-550,-440,-330,-220,-110,0)', 'horse_age = 7', 'country_id=1', 'lastrun BETWEEN 21 and 5000', 'country_id = 1', 'seasonalruns = 0', 'r2country_id=1', 'careerruns>0'}), 'none')"
noggin,2,7YO 8YO FLAT - NH LTO,"TEST PASSED LEGALLY1 AND horse_age  BETWEEN 7 and 8 AND careerruns  BETWEEN 0 and 38 AND seasonalruns = 0 AND catruns NOT BETWEEN 0 and 2 AND country_id = 1 AND rt1_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND r2nh_flat_aw_id  IN ( 1 ) AND d2jockeys_claim  IN ( 0,3,5,6,8,10 ) AND careerruns>0 AND dateyears >=2003",,none,201.0,188.0,noggin:2,"(frozenset({'TEST PASSED LEGALLY1', 'careerruns BETWEEN 0 and 38', 'nh_flat_aw_id IN (2)', 'catruns NOT BETWEEN 0 and 2', 'r2nh_flat_aw_id IN (1)', 'd2jockeys_claim IN (0,3,5,6,8,10)', 'country_id = 1', 'rt1_id = 1', 'seasonalruns = 0', 'careerruns>0', 'horse_age BETWEEN 7 and 8'}), 'none')"
noggin,3,7YO 1 RUN Season HDGR,"TEST PASSED LEGALLY1 AND horse_age = 7 AND seasonalruns = 1 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND trackdirection  IN ( 1,2 ) AND datemonthofyear  IN ( 4,5,6,7,8 ) AND horsecountry NOT IN ( 2 ) AND headgear  IN ( 1,2,3 ) AND r2nh_flat_aw_id  IN ( 2,3 ) AND r2trackdirection  IN ( 1,2,8 ) AND careerruns>0 AND dateyears >=2003",,none,-12.63,103.0,noggin:3,"(frozenset({'datemonthofyear IN (4,5,6,7,8)', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (2)', 'trackdirection IN (1,2)', 'horse_age = 7', 'country_id = 1', 'r2nh_flat_aw_id IN (2,3)', 'seasonalruns = 1', 'headgear IN (1,2,3)', 'careerruns>0', 'r2trackdirection IN (1,2,8)', 'horsecountry NOT IN (2)'}), 'none')"
noggin,4,7YO 1 RUN Season NO HDGR,"TEST PASSED LEGALLY1 AND horse_age = 7 AND seasonalruns = 1 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND datemonthofyear  IN ( 4,5,6,7,8 ) AND horsecountry NOT IN ( 1,2 ) AND headgear  IN ( 23 ) AND r2trackdirection  IN ( 1 ) AND d2jockeys_claim  IN ( 0,3 ) AND careerruns>0 AND dateyears >=2003",,none,-10.93,26.0,noggin:4,"(frozenset({'d2jockeys_claim IN (0,3)', 'datemonthofyear IN (4,5,6,7,8)', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (2)', 'horse_age = 7', 'country_id = 1', 'r2trackdirection IN (1)', 'seasonalruns = 1', 'headgear IN (23)', 'horsecountry NOT IN (1,2)', 'careerruns>0'}), 'none')"
noggin,5,2021 7YOs BASE 2021,"TEST PASSED LEGALLY1 AND number_of_runners  BETWEEN 8 and 30 AND horse_age = 7 AND seasonalruns = 0 AND careerwins NOT BETWEEN 1 and 2 AND catwins NOT BETWEEN 8 and 9 AND lastrun  BETWEEN 21 and 5000 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND horsecountry  IN ( 1,2,3,5 ) AND classmove  IN ( -2,-1,0,1,2 ) AND distancemove  IN ( -1540,-1430,-1320,-1210,-1100,-990,-880,-770,-660,-550,-440,-330,-220,-110,0 ) AND d2jockeys_claim  IN ( 0,3,5 ) AND careerruns>0 AND country_id=1 AND r2country_id=1 AND dateyears >=2003",,none,0.02,500.0,noggin:5,"(frozenset({'number_of_runners BETWEEN 8 and 30', 'd2jockeys_claim IN (0,3,5)', 'catwins NOT BETWEEN 8 and 9', 'nh_flat_aw_id IN (2)', 'classmove IN (-2,-1,0,1,2)', 'lastrun BETWEEN 21 and 5000', 'country_id = 1', 'careerwins NOT BETWEEN 1 and 2', 'careerruns>0', 'horsecountry IN (1,2,3,5)', 'TEST PASSED LEGALLY1', 'distancemove IN (-1540,-1430,-1320,-1210,-1100,-990,-880,-770,-660,-550,-440,-330,-220,-110,0)', 'horse_age = 7', 'country_id=1', 'seasonalruns = 0', 'r2country_id=1'}), 'none')"
noggin,6,4YO HDGR FT,"TEST PASSED LEGALLY1 AND yards  BETWEEN 1320 and 1980 AND horse_age = 4 AND hgruns = 0 AND catruns NOT BETWEEN 1 and 6 AND horsesex = 1 AND trackdirection  IN ( 3 ) AND datemonthofyear  IN ( 5,6,7,8,9,10,11,12 ) AND horsecountry  IN ( 1,2,4,5 ) AND headgear  IN ( 1,2,3,4,23 ) AND bestplace3 NOT IN ( 2 ) AND jockeys_claim  IN ( 0,1,2,3,4,5 ) AND dateyears >=2003",,none,16.35,290.0,noggin:6,"(frozenset({'bestplace3 NOT IN (2)', 'TEST PASSED LEGALLY1', 'datemonthofyear IN (5,6,7,8,9,10,11,12)', 'hgruns = 0', 'horse_age = 4', 'catruns NOT BETWEEN 1 and 6', 'headgear IN (1,2,3,4,23)', 'jockeys_claim IN (0,1,2,3,4,5)', 'trackdirection IN (3)', 'horsesex = 1', 'horsecountry IN (1,2,4,5)', 'yards BETWEEN 1320 and 1980'}), 'none')"
noggin,7,7YO FLAT part 1A not GB,"TEST PASSED LEGALLY1 AND horse_age = 7 AND seasonalruns  BETWEEN 0 and 5 AND catruns NOT BETWEEN 0 and 2 AND trackwins = 0 AND totaldistbt  BETWEEN 2.05 and 2000 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND datemonthofyear  IN ( 4,5,8,9,10,11 ) AND horsecountry NOT IN ( 1 ) AND bestplace3  IN ( 1,2,3 ) AND bestplace5  IN ( 1,2 ) AND bestplace10  IN ( 1 ) AND d2placing NOT IN ( 6,7 ) AND d2jockeys_claim  IN ( 0,3,5 ) AND careerruns>0 AND careerruns>0 AND dateyears >=2003",,none,135.43,245.0,noggin:7,"(frozenset({'datemonthofyear IN (4,5,8,9,10,11)', 'd2jockeys_claim IN (0,3,5)', 'nh_flat_aw_id IN (2)', 'd2placing NOT IN (6,7)', 'catruns NOT BETWEEN 0 and 2', 'country_id = 1', 'totaldistbt BETWEEN 2.05 and 2000', 'trackwins = 0', 'careerruns>0', 'TEST PASSED LEGALLY1', 'bestplace10 IN (1)', 'bestplace3 IN (1,2,3)', 'horse_age = 7', 'seasonalruns BETWEEN 0 and 5', 'horsecountry NOT IN (1)', 'bestplace5 IN (1,2)'}), 'none')"
noggin,8,7YO FLAT part 1B Strts LTO,"TEST PASSED LEGALLY1 AND horse_age = 7 AND seasonalruns = 0 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND headgear NOT IN ( 1,23 ) AND r2trackdirection  IN ( 3 ) AND careerruns>0 AND dateyears >=2003",,none,2.81,37.0,noggin:8,"(frozenset({'TEST PASSED LEGALLY1', 'r2trackdirection IN (3)', 'nh_flat_aw_id IN (2)', 'headgear NOT IN (1,23)', 'horse_age = 7', 'country_id = 1', 'seasonalruns = 0', 'careerruns>0'}), 'none')"
noggin,9,SS HDGRdiff JAN-APRIL 8.01 - 1000.00,"TEST PASSED LEGALLY1 AND dateweek  BETWEEN 2 and 19 AND horse_age  BETWEEN 8 and 16 AND careerruns  BETWEEN 1 and 220 AND seasonalruns  BETWEEN 1 and 6 AND country_id = 2 AND nh_flat_aw_id  IN ( 1 ) AND datemonthofyear  IN ( 1,2,3,4,5 ) AND horsecountry  IN ( 2 ) AND headgear <> headgearlr AND dateyears >=2003",,8.01 - 1000.00,181.18,211.0,noggin:9,"(frozenset({'headgear <> headgearlr', 'TEST PASSED LEGALLY1', 'country_id = 2', 'nh_flat_aw_id IN (1)', 'horse_age BETWEEN 8 and 16', 'seasonalruns BETWEEN 1 and 6', 'horsecountry IN (2)', 'datemonthofyear IN (1,2,3,4,5)', 'careerruns BETWEEN 1 and 220', 'dateweek BETWEEN 2 and 19'}), '8.01 - 1000.00')"
noggin,10,SS MM NH PUNCHESTOWN 8.01 - 100.00 MM,"TEST PASSED LEGALLY1 AND fcve  BETWEEN 4 and 20 AND careerruns  BETWEEN 2 and 30 AND r2number_of_runners NOT BETWEEN 7 and 9 AND nh_flat_aw_id  IN ( 1 ) AND track_id  IN ( 60 ) AND distancemove NOT IN ( -2640,-2530,-2420,-2310,-2200,-2090,-1980,-1870,-1760,-1650,-1540,-1430,-1320,-1210,-1100,-990,-880,-770,-660,-550,-440,-330,-220,-110 ) AND d2jockeys_claim  IN ( 0 ) AND careerruns>0 AND race_date>='2011-12-28' AND dateyears >=2003",,8.01 - 100.00,65.38,98.0,noggin:10,"(frozenset({'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (1)', 'distancemove NOT IN (-2640,-2530,-2420,-2310,-2200,-2090,-1980,-1870,-1760,-1650,-1540,-1430,-1320,-1210,-1100,-990,-880,-770,-660,-550,-440,-330,-220,-110)', 'track_id IN (60)', 'fcve BETWEEN 4 and 20', 'd2jockeys_claim IN (0)', 'careerruns BETWEEN 2 and 30', 'careerruns>0', ""race_date>='2011-12-28'"", 'r2number_of_runners NOT BETWEEN 7 and 9'}), '8.01 - 100.00')"
